Title,Description,LocationName
"Miradouro e Área de lazer de Água de Pau","Localizado no Município de Lagoa, o Miradouro de Água de Pau é um local que deslumbra qualquer visitante com a paisagem sobre a Vila de Água e a Ermida de Nossa Senhora do Monte Santo.",Água de Pau
"Piscinas Naturais da Lagoa","Situadas na freguesia do Rosário, as Piscinas Naturais de Lagoa são um local de referência na ilha. Neste local é possível usufruir de várias piscinas naturais, de uma piscina artificial semiolímpica e de piscinas para crianças. Para além disso, o espaço está equipado com bar, esplanada, vestiários, WC e parque de estacionamento.",Rosário
"Igreja Matriz de Santa Cruz","A Igreja Matriz de Santa Cruz, outrora Ermida fundada por Rodrigo Afonso, sofreu várias alterações ao longo dos anos, muito justificadas pelo crescimento populacional que ocorreu durante o século XVIII. Com três naves, e a cabeceira escalonada, viu a sua frontaria reformulada no ano de 1844, tendo a torre sineira sido construída no mesmo ano. A intervenção realizada nesse ano, conferiu-lhe a configuração das restantes igrejas açorianas, que permitem observar no exterior as naves existentes no interior. Na ornamentação predominam retábulos de estilo barroco. Neste espaço, para além das funções próprias de um templo religioso, é possível visitar a Coleção da Matriz de Lagoa, disponibilizando aos visitantes a oportunidade de percorrer vários espaços musealizados no interior da Igreja. ",Santa Cruz
"Observatório Vulcanológico e Geotérmico dos Açores","O Observatório Vulcanológico e Geotérmico dos Açores é um espaço que tem como objetivo a divulgação da vulcanologia, da sismologia, da geotermia e dos desambientes dos Açores. Aqui o visitante poderá descobrir a geologia da região e observar várias amostras de rochas e minerais, bem como alguns fosseis, que deixam qualquer visitante curioso pelos exemplares únicos que existem na região.  ",Atalhada
"Pelourinho","Símbolo do poder de jurisdição e autonomia, o Pelourinho encontrava-se em frente à Domus Municipalis, edifício com que estaria em consonância dada a sua relação com o poder municipal. Foi mudado em 1860 para a praça de São Tiago, onde agora se encontra. É constituído por duas peças de cronologias díspares, o pelourinho propriamente dito, presumivelmente do século XIII, e a sua base, uma interessante figura zoomórfica proto-histórica, com mais de 2500 anos, popularmente designada como ""Porca da Vila"".",Bragança
"Domus Municipalis","Importante exemplar do período tardo-medieval, a Domus Municipalis é o principal ex-libris da cidade. Monumento singular e enigmático da arquitetura românica civil, único na Península Ibérica, foi edificado, muito provavelmente, no primeiro terço de quatrocentos.A Domus é constituída por dois espaços distintos, a ""sala de água"", uma cisterna de boa construção com o objetivo utilitário de armazenar águas pluviais e nascentes, e um espaço arquitetónico superior, designado como ""casa da Câmara"", denominação que indicia que aqui, ter-se-ão realizado, a partir do século XVI, as reuniões dos ""homens-bons"", membros da comunidade com alguma relevânciasocial ou económica, para debater os problemas da municipalidade.",Bragança
"Cidadela","A cidadela de Bragança, um recinto muralhado no cume do outeiro da antiga Quinta de Benquerença e o núcleo urbano mais antigo da cidade, nasce com o início da nacionalidade e devido à sua proximidade da fronteira. A primeira fortificação neste local deverá remontar à época do 1.º foral da cidade, concedido pelo rei D. Sancho I em 1187. No século seguinte, ergue-se o primeiro castelo, por ordem do rei D. Dinis, a partir do qual se desenvolveu o atual. Nas centúrias que se seguiram, a povoação foi completamente cercada por muralhas, estando totalmente envolvida por uma linha de defesa em 1377. A Fonte d'el rei e os panos de muralha que a cercam, datando provavelmente do século XV, durante o reinado de D. Afonso V, garantia o abastecimento de água no interior da povoação. O conjunto monumental da cidadela, com destaque para o Castelo, o Pelourinho e a Domus Municipalis foi, através dos tempos, uma forte presença da portugalidade junto à fronteira.",Bragança
"Museu Nacional Ferroviário de Bragança","O Museu Nacional Ferroviário de Bragança, inaugurado em abril de 2019, localiza-se na antiga estação de caminhos-de-ferro da cidade e ocupa o edifício anteriormente destinado ao parqueamento de carruagens daquela que foi a estação terminal da Linha do Tua. Aqui reúnem-se mais de duas centenas de peças que fizeram parte do quotidiano de ferroviários e passageiros da Linha do Tua. Este espaço é, assim, um lugar de memória da antiga linha de caminhos-de-ferro da região, que deixou de servir a população de Bragança em1992.",Bragança
"Biblioteca Municipal e Biblioteca Adriano Moreira","Parte integrante do Convento de Freiras Claras, este edifício foi construído no ano de 1562 e posteriormente entregue à Companhia de Jesus, responsável por aqui fundar um prestigiado Colégio que, em muito, contribuiu para a educação da sociedade brigantina.Manteve as suas funções educativas até finais do século XX, tendo o edifício sido recuperado pelo Município com o intuito de aqui instalar vários equipamentos, entre eles a Biblioteca Municipal. Em 2009, o Presidente da República Aníbal Cavaco Silva, inaugurou a Biblioteca Adriano Moreira, espaço que acolhe o acervo doado à comunidade brigantina pelo Professor Adriano Moreira.",Bragança
"Convento de São Francisco","Construído no século XIII, o Convento de São Francisco foi fundado para albergar a ordem mendicante de São Francisco. A tradição popular atribui a sua fundação ao próprio São Francisco de Assis mas, na realidade, o convento nasceu da vontade de uma família nobre, apoiada pela família real, como comprova uma doação testamentária de 1271, do rei D. Afonso III. O complexo conventual foi reedificado na primeira metade do século XVII, como denuncia o seu portal maneirista.O convento sofreu inúmeras intervenções nos séculos seguintes e uma vasta readaptação, depois da extinção das ordens religiosas, em 1834, para a instalação do Hospital Militar e do Asilo Duque de Bragança. Na igreja, de entre os vários retábulos setecentistas, destaca-se o da capela de Nossa Senhora da Conceição em que são visíveis algumas aplicações rocaille. No altar-mor é possível observar pinturas murais de elevado valor, nomeadamente a representação de Nossa Senhora do Manto, temática que viria a identificar as Misericórdias.",Bragança
"Miradouro de São Bartolomeu","Localizado a sul da cidade de Bragança, o Miradouro de São Bartolomeu oferece uma inesquecível e privilegiada vista da cidade e da sua envolvência, com destaque para a cidadela. O topónimo do Cabeço de São Bartolomeu provém do santuário que aqui se encontra, dedicado a São Bartolomeu. Junto a este local, ergue-se uma estátua de grandes dimensões em homenagem a São Bento, padroeiro da Diocese de Bragança-Miranda e da Europa. A ampla visibilidade que o cabeço oferece terá motivado a fixação humana neste local há milhares de anos, acreditando-se que aqui existiu um povoado fortificado pré-histórico.",Bragança
"Centro de Ciência Viva","A construção de uma cidadania ativa assente na promoção do conhecimento científico, com a educação e a disseminação da ciência e da tecnologia, é a principal missão do Centro Ciência Viva de Bragança. Agregado em dois espaços interativos, o Centro Ciência Viva oferece, no Edifício Sede, um espaço com temáticas expositivas pluridisciplinares relacionadas com as energias renováveis e com robótica e tecnologia de impressão 3D. Na Casa da Seda, instalada num antigo moinho, pode-se encontrar uma exposição relacionada com o património histórico, cultural e ecológico do bicho-da-seda na região e a exposição Natureza Virtual, com experiências imersivas assentes em tecnologia de Realidade Virtual.Em ambos os espaços destaca-se a interatividade das exposições, priorizando o envolvimento do cidadão em questões de extrema importância, nomeadamente a sustentabilidade energética e a preservação do meio ambiente.",Bragança
"Igreja de Santa Maria","Considerado um dos mais antigos templos da cidade de Bragança, a Igreja de Santa Maria deve remontar aos primórdios do burgo brigantino, século XI ou XII.Desta primitiva construção, dedicada, na voz popular, à Nossa Senhora do Sardão, não subsiste nenhum vestígio devido à reconstrução que todo o edifício sofreu no terceiro quartel de 1500. O resultado é, em grande parte, a igreja que hoje vemos, um amplo edifício com três naves, divididas por robustos arcos sustentados por colunas em tijoleira que contrastam com as paredes rebocadas a branco e os retábulos em talha dourada dos séculos seguintes. Na capela-mor, obra de finais do século XVI, destaca-se a sublime imagem seiscentista de Santa Maria Madalena, da escola de Valladolid. A frontaria da igreja, dos inícios do século XVIII, ostenta um elaborado portal de colunas torsas ou pseudo-salomónicas, sobre as quais surgem as figuras de São Pedro e de São Paulo.",Bragança
"Museu Ibérico da Máscara e do Traje","Fruto da cooperação transfronteiriça entre o Município de Bragança e a Diputación de Zamora, o museu encontra-se localizado no interior da cidadela do Castelo de Bragança, num edifício requalificado.Inaugurado a 24 de fevereiro de 2007, sob a temática da máscara, é um espaço de divulgação das tradições relacionadas com as festas de inverno e de carnaval de Trás-os-Montes e Alto Douro e da Província de Zamora.Constituído por 3 pisos, permite ao visitante contactar, em qualquer altura do ano, com uma multiplicidade de festas, personagens e rituais onde a máscara assume o papel primordial da festividade. Para além do contacto com as personagens recriadas pelos caretos expostos, o museu permite, ao som da música tradicional, levar o visitante a vivenciar, por fotografias e objetos expostos, as festividades representadas nas diferentes localidades durante o período de inverno.",Bragança
"Porta do Sol","Integrada na cerca muralhada do burgo brigantino, a Porta do Sol é assim designada por estar voltada a nascente, sendo iluminada pela primeira luz da manhã.As suas duas imponentes torres protegem a entrada na atual rua D. Fernão O Bravo, uma das principais artérias do espaço intramuros da cidade de Bragança. Do lado oposto da rua, ergue-se a Porta de Santo António e a Porta da Vila.",Bragança
"Portas da Vila","A entrada principal para a Cidadela de Bragança abre-se a poente da cerca muralhada pela Porta da Vila e faz parte da barbacã defensiva. Mais recuada, situada entre dois torreões, fica a Porta de Santo António, assim designada por possuir uma imagem desse Santo, sendo uma defesa adicional em caso de ataque.No extremo oposto da rua D. Fernão O Bravo abre-se a Porta do Sol. A norte destas e da Praça de Armas, encontra-se a Porta da Traição.",Bragança
"Solar dos Teixeiras","Construído como casa de habitação para uma família nobre e influente da sociedade brigantina, o Solar dos Teixeiras é um edifício de finais do século XVII.Ostenta no ângulo superior da cornija o brasão oitocentista, com as armas da família Teixeira, um escudo oval com cruz, encimado por um elmo e um unicórnio armado. O solar tem a particularidade de apresentar mezanino no andar superior da fachada voltada para a rua. As aberturas do andar nobre ostentam aventais, nos quais se lavram volumes tratados sob a forma de pontas de diamante. Em1988, o Solar foi adquirido pela Câmara Municipal de Bragança e recuperado para instalar a Biblioteca Dr. Águedo de Oliveira / Fundação ""Os Nossos Livros"", inaugurada a 30 de maio de 1996. Possui um notável acervo bibliográfico sobre o vinho do Porto.",Bragança
"Igreja de S. Bento","Fundado em 1590 por desejo de uma dama nobre, o Convento de São Bento foi, durante séculos, uma importante instituição religiosa da cidade de Bragança. Na fachada da igreja conventual ainda se encontra a pedra de armas da sua fundadora, D. Maria Teixeira.O convento, então sob a proteção de Santa Escolástica, foi extinto no século XIX, mas a sua igreja manteve-se aberta ao culto. A Igreja de São Bento ostenta, no seu interior, várias obras de relevo artístico, como a deslumbrante pintura cenográfica no teto da nave, com arquitetura fingida e perspectivas acentuadas que projetam o edifício para além da sua real altura. Na capela-mor, a par do retábulo joanino de 1721 com talha de estilo nacional, destaca-se o teto original de alfarge, uma autêntica relíquia de feição Mudéjar, datado dos fins de quinhentos.",Bragança
"Edifício do Principal","O Tenente-Coronel engenheiro Antas Machado projetou, em 1791, um edifício militar destinado a albergar a Guarda Principal. O local escolhido para a sua construção, com ligeiras alterações ao projeto original, foi a Praça de São Vicente.De características estilísticas sóbrias, sobressai a arcada da fachada principal, voltada para a praça. Atualmente, o edifício funciona como sede da ""Liga dos Combatentes"". No centro desta praça, também conhecida por Praça Velha, Praça de Baixo e Largo General Sepúlveda, encontra-se o Monumento aos Mortos da I Grande Guerra. Do lado oposto ao da igreja é visível um portal armoriado que nobilitava o edifício da antiga cadeia civil.",Bragança
"Igreja de S. Vicente","A igreja de São Vicente foi erigida, muito provavelmente, no início do século XIII.Pelas caraterísticas da cabeceira, tem-se enquadrado o primitivo templo no estilo românico. Destaca-se, no seu interior, a capela do Santo Cristo, seiscentista, sede da mais importante confraria da cidade com o mesmo nome. A existência desta confraria e a localização do templo, numa praça multifuncional, foram fatoresdecisivos para a preservação e beneficiação da igreja ao longo dos séculos.A talha dourada da capela-mor, datada do século XVIII, é uma admirável obra da arte barroca. De realçar, no seu exterior, o portal maneirista, o chafariz datado de 1746 que ostenta as armas reais e ainda o Passo oitocentista que demonstra a importância da Semana Santa em Bragança. O painel de azulejos, descerrado em 1929, comemora a proclamação do General Sepúlveda contra a invasão francesa em 1808. Crê-se que aqui tenha sido realizado o casamento secreto entre D. Pedro I e D. Inês de Castro, ligando este templo a uma das mais belas histórias de amor da época.",Bragança
"Santuário de Nossa Senhora das Graças","A igreja de Santa Clara, hoje mais conhecida como Santuário de Nossa Senhora das Graças, fez parte do extinto Convento de Santa Clara, destinado a acolher as filhas e netas dos cidadãos de Bragança. A construção do convento foi iniciada em 1569 e só em 1598 foi ocupado pelas freiras. Durante a Guerra da Restauração, alguma pedra e madeira da cerca e dos dormitórios do Convento, foram reutilizados para a construção das trincheiras da nova muralha na cidade. Só no início do século XVIII o convento finalmente adquire as condições necessárias para albergar a comunidade constituída por mais de uma centena de religiosas. Após a extinção das ordens religiosas, em 1834, o edifício fica devoluto e, em 26 de Agostode 1860, a Arquiconfraria de Nossa Senhora das Graças transfere-se para o local.A pintura cenográfica no teto da nave da igreja, atribuída a Manuel Xavier Caetano Fortuna, sublinha a devoção mariana, com Nossa Senhora ao centro, e valoriza a Palavra de Deus, com os quatro Evangelistas. Os vitrais e as imagens veneradas neste Santuário, Stº António, S. Francisco de Assis, S. Caetano, Stª Teresa de Ávila e Stª Clara, propõem um modelo de vida religiosa. Aqui encontramos a belíssima imagem de Nossa Senhora das Graças, padroeira da cidade.",Bragança
"Igreja da Misericórdia","A Santa Casa da Misericórdia de Bragança foi fundada em 1518 numa igreja já existente, a antiga igreja do Espírito Santo. A importância que a Santa Casa adquiriu, tal como aconteceu em todas as cidades do reino, impulsionou a necessidade de um templo próprio. A pequena igreja do Espírito Santo foi reconstruída em 1539 para servir como igreja da Misericórdia e, durante os séculos seguintes, foi embelezada com capelas, altares e imagens que demonstram a forte devoção promovida pela Santa Casa. O valioso retábulo maneirista no altar-mor, cuja figura central é Nossa Senhora da Misericórdia, foi executado nos finais do século XVII. Numa capela anexa pode admirar-se a preciosa imagem do Senhor dos Passos, dos fins do século XVIII. A frontaria do edifício foi revestida a azulejo entre1865 e 1873.",Bragança
"Igreja da Antiga Sé","A igreja da Antiga Sé, construída na primeira metade do século XVI e destinada a Convento de freiras Clarissas, acabaria por ser entregue aos padres da Companhia de Jesus em 1562, onde, em instalações anexas, fundaram um colégio. A igreja de uma só nave, reflete as reformas feitas pelos Jesuítas nos séculos XVI, XVII e XVIII.Apresenta uma arquitetura híbrida, com soluções estilísticas maneiristas e barrocas. Com a expulsão dos Jesuítas, em 1759, aqui se estabeleceu o Seminário Diocesano, em 1766. À igreja do colégio, foram atribuídas funções catedralícias em 1768. Merece visita atenta a sacristia, do século XVII, pela beleza da decoração, pela riqueza das pinturas no teto apainelado narrando a vida de Santo Inácio, epelos quadros que ladeiam o arcaz. Merecem ainda referência o claustro renascentista, a galilé toscana e o artístico e aparatoso janelão maneirista datado de 1685. No centro da Praça da Sé, ergue-se o Cruzeiro, a emblemática Cruz de Pedra, uma peça escultórica de fuste serpenteado, datada de 1689.",Bragança
"Memorial e Centro de Documentação Bragança Sefardita","Situado na ""Rua dos Museus"", o Memorial e Centro de Documentação Bragança Sefardita é um espaço que complementa e dialoga com o Centro de Interpretação da Cultura Sefardita do Nordeste Transmontano.Trata-se de uma abordagem mista, material e virtual, em que o espaço interior e a luz remetem para a memória.O visitante é acolhido numa sinagoga mostrando-se, didaticamente, a dimensão religiosa. O lugar da mulher, os ritos e as festas têm espaço consagrado nos restantes pisos, procurando-se sempre entender a dimensão da vida sefardita na cidade de Bragança. Paralelamente, neste equipamento, tem sede um arquivo de memória e um centro de documentação online que serve de apoio à reflexão e investigação em torno da presença sefardita na região de Bragança.",Bragança
"Centro de Arte Contemporânea Graça Morais","Instalado no antigo Solar dos Veiga Cabral, o Centro de Arte Contemporânea Graça Morais é constituído por um conjunto de três corpos distintos, obra da autoria de Eduardo Souto Moura, arquiteto premiado com o Prémio Pritzker. Tem como missão sensibilizar e promover o conhecimento da arte contemporânea, com particular ênfase na obra da pintora Graça Morais. A exposição é complementada com um dinâmico programa cultural, com exposições temporárias, coletivas e individuais, iniciativas de âmbito pluridisciplinar e atividades pedagógicas. Potencia-se, assim, a promoção, ampliação e fidelização de públicos interessados em arte contemporânea, ao mesmo tempo que se estreita a relação, já próxima, com a comunidade local.",Bragança
"Centro de Interpretação da Cultura Sefardita do Nordeste Transmontano","O Centro de Interpretação da Cultura Sefardita do Nordeste Transmontano, situado na Rua do Abade de Baçal, é um espaço que pretende dar a conhecer a história da comunidade judaica que habitou em Bragança e na região.O edifício, que alberga o Centro de Interpretação, é um exemplar da arquitetura civil da cidade, datado do século XVIII, que se crê ter pertencido a uma família de cristãos-novos. O espaço está organizado em três pisos, onde se abordam aspetos da vida quotidiana, da cultura e da religião dos judeus, com recurso a meios tecnológicos e a uma exposição de objetos e documentos. No rés-do-chão, o visitante é convidado a conhecer a história da presença judaica em Bragança, desde a Idade Média até à atualidade. No primeiro andar, é recriado um ambiente doméstico judaico, com a recriação de uma cozinha e de uma sala de jantar. No segundo andar, é abordada a dimensão religiosa, com a recriação de uma sinagoga e a exposição de objetos litúrgicos.",Bragança
"Museu do Abade de Baçal","O Museu do Abade de Baçal, instalado no antigo Paço Episcopal de Bragança, é um dos mais importantes museus do nordeste transmontano. O seu acervo é constituído por coleções de arqueologia, ourivesaria, numismática, epigrafia, escultura, pintura, desenho, mobiliário, têxteis e etnografia, provenientes, na sua maioria, do espólio do Abade de Baçal, figura incontornável da cultura brigantina. O museu está organizado em várias salas temáticas, onde se destacam a Sala do Abade de Baçal, a Sala de Arqueologia, a Sala de Ourivesaria, a Sala de Numismática, a Sala de Epigrafia, a Sala de Escultura, a Sala de Pintura, a Sala de Desenho, a Sala de Mobiliário, a Sala de Têxteis e a Sala de Etnografia. O museu possui, ainda, uma biblioteca especializada em história, arte e etnografia, e um arquivo histórico.",Bragança
"Parque Natural de Montesinho","O Parque Natural de Montesinho é uma área protegida de grande valor natural e paisagístico, localizada no nordeste de Portugal. Com uma área de cerca de 75.000 hectares, o parque abrange os concelhos de Bragança e Vinhais e é caracterizado pela sua diversidade de habitats, que incluem bosques de carvalhos, castanheiros, soutos, lameiros, prados de altitude e cursos de água. A fauna do parque é igualmente diversificada, com destaque para o lobo-ibérico, a corça, o javali, a águia-real, o bufo-real e a cegonha-preta. O parque oferece uma vasta rede de percursos pedestres, que permitem aos visitantes explorar a sua riqueza natural e cultural, com destaque para as aldeias típicas de Montesinho, Rio de Onor e Guadramil.",Bragança
"Aldeia de Montesinho","A aldeia de Montesinho, situada no coração do Parque Natural de Montesinho, é uma das mais emblemáticas aldeias do nordeste transmontano. Caracterizada pela sua arquitetura tradicional, com casas de granito e lousa, a aldeia mantém intacto o seu carácter rural e autêntico. O seu nome provém do monte que a domina, o Monte de Saninho, que oferece uma vista deslumbrante sobre a serra e as aldeias vizinhas. A aldeia é conhecida pela sua gastronomia, com destaque para a posta mirandesa, o fumeiro e o pão-de-centeio. Em Montesinho, os visitantes podem desfrutar de um ambiente tranquilo e sereno, longe do bulício das cidades, e contactar com as tradições e o modo de vida das gentes da terra.",Montesinho
"Aldeia de Rio de Onor","A aldeia de Rio de Onor, situada na fronteira com Espanha, é uma aldeia comunitária, onde as tradições se mantêm vivas e partilhadas por portugueses e espanhóis. A aldeia é atravessada pelo rio Onor, que serve de fronteira natural entre os dois países, e é conhecida pelo seu sistema comunitário de gestão dos recursos, como a água, os pastos e os bosques. As casas são de granito, com varandas em madeira e telhados de lousa, e as ruas são estreitas e empedradas. A aldeia possui um forno comunitário, um moinho e um lagar, que ainda são utilizados pelos habitantes. Rio de Onor é um exemplo único de convivência pacífica entre dois povos, unidos por uma história e uma cultura comuns.",Rio de Onor
"Castelo de Algoso","O Castelo de Algoso, situado no concelho de Vimioso, é um dos mais importantes castelos do nordeste transmontano. Erguido no topo de um imponente maciço rochoso, o castelo domina a paisagem envolvente e oferece uma vista panorâmica sobre o vale do Angueira e a serra de Bornes. A sua construção remonta ao século XII, tendo sido fundado por D. Mendo Rufino, um dos companheiros de D. Afonso Henriques. O castelo foi palco de vários episódios importantes da história de Portugal, como a resistência às invasões leonesas e castelhanas. Do conjunto fortificado, destacam-se a torre de menagem, de planta quadrangular, e as muralhas, que envolvem o recinto. O castelo está classificado como Monumento Nacional.",Algoso
"Barragem do Azibo","A Barragem do Azibo, situada no concelho de Macedo de Cavaleiros, é uma das mais importantes zonas de lazer do nordeste transmontano. A barragem, construída no rio Azibo, criou uma albufeira de grande beleza paisagística, rodeada por uma área protegida - a Paisagem Protegida da Albufeira do Azibo. A zona balnear da barragem, conhecida como Praia da Ribeira, é um local muito procurado para banhos, desportos náuticos e piqueniques. A área protegida oferece uma vasta rede de percursos pedestres e cicláveis, que permitem explorar a sua riqueza natural, com destaque para a flora mediterrânica e a fauna aquática. A barragem do Azibo é, assim, um local ideal para desfrutar da natureza e praticar atividades ao ar livre.",Macedo de Cavaleiros
